\textturna ɐ
\textscripta ɑ
\textturnscripta ɒ
\ae æ
\texthtb ɓ
\textbeta β
\textscb ʙ
\textctc ɕ
\c{c} ç
\textopeno ɔ
\texthtd ɗ
\textrtaild ɖ
\dh ð
\textdyoghlig ʤ
\textschwa ə
\textreve ɘ
\textrighthookschwa ɚ
\textepsilon ɛ
\textrevepsilon ɜ
\textrhookrevepsilon ɝ
\textcloserevepsilon ɞ
\texthtg ɠ
\textscg ɢ
\texthtscg ʛ
\textgamma ɣ
\textgrgamma γ
\textbabygamma ɤ
\texthth ɦ
\texththeng ɧ
\textcrh ħ
\textturnh ɥ
\textsch ʜ
\textbari ɨ
\textsci ɪ
\textiota ι
\textctj ʝ
\textrtaill ɭ
\textbeltl ɬ
\textltilde ɫ
\textlyoghlig ɮ
\textscl ʟ
\textltailm ɱ
\textturnm ɯ
\textturnmrleg ɰ
\ng ŋ
\textrtailn ɳ
\textltailn ɲ
\textscn ɴ
\o ø
\textbaro ɵ
\textphi ɸ
\texttheta θ
\oe œ
\textscoelig ɶ
\textbullseye ʘ
\textturnr ɹ
\textturnlonglegr ɺ
\textfishhookr ɾ
\textturnrrtail ɻ
\textscr ʀ
\textinvscr ʁ
\textrtailr ɽ
\textrtails ʂ
\textesh ʃ
\textrtailt ʈ
\textteshlig ʧ
\textbaru ʉ
\textupsilon ʊ
\textscriptv ʋ
\textturnw ʍ
\textchi χ
\textturny ʎ
\textscy ʏ
\textrtailz ʐ
\textctz ʑ
\textyogh ʒ
\textglotstop ʔ
\textbarglotstop ʡ
\textrevglotstop ʕ
\textbarrevglotstop ʢ
\textpipe ǀ
\textdoublepipe ǁ
! !
